gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.9352226445334964e-05,1.9352226445334964e-05,1.9352226445334964e-05,0.0,0.0,0.0,0.0,1.6659018993377686
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.03873848915100098
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.7221122107002884e-05,1.7221122107002884e-05,1.7221122107002884e-05,0.0,0.0,0.0,0.0,0.01880645751953125
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.0659896361175925e-05,1.0659896361175925e-05,1.0659896361175925e-05,0.0,0.0,0.0,0.0,0.017983675003051758
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,4.819513560505584e-05,4.819513560505584e-05,4.819513560505584e-05,0.0,0.0,0.0,0.0,0.016526460647583008
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,5.550554851652123e-05,5.550554851652123e-05,5.550554851652123e-05,0.0,0.0,0.0,0.0,0.015639066696166992
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.024316787719726562
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,4.933166201226413e-05,4.933166201226413e-05,4.933166201226413e-05,0.0,0.0,0.0,0.0,0.01448202133178711
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.8263064197963104e-05,3.8263064197963104e-05,3.8263064197963104e-05,0.0,0.0,0.0,0.0,0.015100479125976562
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,5.664796844939701e-05,5.664796844939701e-05,5.664796844939701e-05,0.0,0.0,0.0,0.0,0.01569390296936035
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,4.1844028601190075e-05,4.1844028601190075e-05,4.1844028601190075e-05,0.0,0.0,0.0,0.0,0.015469551086425781
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.021361827850341797
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,6.359632970998064e-05,6.359632970998064e-05,0.0,0.0,0.0,0.0,0.01682591438293457
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,3.556433512130752e-05,3.556433512130752e-05,0.0,0.0,0.0,0.0,0.01789259910583496
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.020112991333007812
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.01979684829711914
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,8.897535735741258e-06,8.897535735741258e-06,8.897535735741258e-06,0.0,0.0,0.0,0.0,0.02057194709777832
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,9.02581996342633e-06,9.02581996342633e-06,9.02581996342633e-06,0.0,0.0,0.0,0.0,0.019942522048950195
